,addrcode,Year,WeekNum,NumberCases
0,100101,2014,47,1
1,100101,2015,4,1
2,100101,2015,21,1
3,100101,2015,22,1
4,100101,2015,27,1
5,100101,2015,29,1
6,100101,2015,30,1
7,100101,2015,31,1
8,100101,2015,33,1
9,100101,2015,34,1
10,100101,2015,45,2
11,100101,2015,46,3
12,100101,2015,47,1
13,100101,2015,48,3
14,100101,2015,49,1
15,100101,2015,50,1
16,100101,2016,1,1
17,100101,2016,4,1
18,100101,2016,53,1
19,100101,2017,40,1
20,100101,2017,42,1
21,100102,2014,2,1
22,100102,2014,5,1
23,100102,2014,39,1
24,100102,2015,15,1
25,100102,2015,18,1
26,100102,2015,20,2
27,100102,2015,25,1
28,100102,2015,26,1
29,100102,2015,30,1
30,100102,2015,32,2
31,100102,2015,35,2
32,100102,2015,36,1
33,100102,2015,38,1
34,100102,2015,40,1
35,100102,2015,41,2
36,100102,2015,42,2
37,100102,2015,43,1
38,100102,2015,44,2
39,100102,2015,45,1
40,100102,2015,46,1
41,100102,2015,47,1
42,100102,2015,48,2
43,100102,2015,49,1
44,100102,2015,50,1
45,100102,2015,51,2
46,100102,2016,1,2
47,100102,2016,2,1
48,100102,2016,5,1
49,100102,2016,9,1
50,100102,2016,28,1
51,100102,2016,48,1
52,100102,2016,51,1
53,100102,2016,53,1
54,100102,2017,11,1
55,100102,2017,16,1
56,100102,2017,30,1
57,100102,2017,34,1
58,100102,2017,40,1
59,100102,2018,19,1
60,100102,2018,20,1
61,100103,2014,5,1
62,100103,2014,20,1
63,100103,2014,21,1
64,100103,2014,48,1
65,100103,2015,20,1
66,100103,2015,32,1
67,100103,2015,34,1
68,100103,2015,36,3
69,100103,2015,41,3
70,100103,2015,42,1
71,100103,2015,43,1
72,100103,2015,44,1
73,100103,2016,6,2
74,100103,2016,34,1
75,100103,2016,35,1
76,100103,2017,30,1
77,100103,2017,34,1
78,100103,2017,35,1
79,100103,2017,38,1
80,100103,2017,47,1
81,100103,2017,48,1
82,100103,2018,17,1
83,100104,2014,46,1
84,100104,2014,50,1
85,100104,2015,25,1
86,100104,2015,27,1
87,100104,2015,31,1
88,100104,2015,34,1
89,100104,2015,35,1
90,100104,2015,38,1
91,100104,2015,42,1
92,100104,2015,45,1
93,100104,2015,46,1
94,100104,2015,47,2
95,100104,2015,48,1
96,100104,2015,49,3
97,100104,2015,50,1
98,100104,2016,1,1
99,100104,2016,4,1
100,100104,2016,5,1
101,100104,2016,30,1
102,100104,2016,47,1
103,100104,2017,19,1
104,100104,2017,33,1
105,100104,2017,36,1
106,100104,2017,43,1
107,100104,2017,48,1
108,100104,2018,17,1
109,100105,2015,28,2
110,100105,2015,29,1
111,100105,2015,30,1
112,100105,2015,41,1
113,100105,2015,46,1
114,100105,2015,47,1
115,100105,2015,48,2
116,100105,2015,51,1
117,100105,2016,2,1
118,100105,2016,6,3
119,100105,2016,9,1
120,100105,2016,34,1
121,100105,2017,27,1
122,100105,2017,35,1
123,100106,2015,27,2
124,100106,2015,28,1
125,100106,2015,30,1
126,100106,2015,33,1
127,100106,2015,34,1
128,100106,2015,35,1
129,100106,2015,48,1
130,100106,2015,49,1
131,100106,2016,19,1
132,100106,2016,36,1
133,100106,2016,37,1
134,100106,2017,1,2
135,100106,2017,27,1
136,100107,2014,12,1
137,100107,2014,17,1
138,100107,2014,48,2
139,100107,2015,3,1
140,100107,2015,7,1
141,100107,2015,18,1
142,100107,2015,19,1
143,100107,2015,20,1
144,100107,2015,22,1
145,100107,2015,23,1
146,100107,2015,25,3
147,100107,2015,26,3
148,100107,2015,27,1
149,100107,2015,28,1
150,100107,2015,31,1
151,100107,2015,39,1
152,100107,2015,44,1
153,100107,2015,45,1
154,100107,2015,47,2
155,100107,2015,48,1
156,100107,2015,49,1
157,100107,2015,50,2
158,100107,2016,2,1
159,100107,2016,3,1
160,100107,2016,8,1
161,100107,2016,13,1
162,100107,2016,40,1
163,100107,2016,42,1
164,100107,2017,25,1
165,100107,2017,31,1
166,100107,2017,51,1
167,100107,2018,7,1
168,100107,2018,19,1
169,100107,2018,20,1
170,100108,2014,11,1
171,100108,2014,23,1
172,100108,2015,34,1
173,100108,2015,37,1
174,100108,2015,40,1
175,100108,2015,46,2
176,100108,2015,49,1
177,100108,2015,50,1
178,100108,2016,1,2
179,100108,2016,4,1
180,100108,2016,5,1
181,100108,2016,10,1
182,100108,2016,35,1
183,100108,2016,36,1
184,100108,2016,37,1
185,100108,2016,38,1
186,100108,2016,42,1
187,100108,2016,45,1
188,100108,2016,46,1
189,100108,2016,48,2
190,100108,2017,23,1
191,100108,2018,18,1
192,100109,2014,17,1
193,100109,2014,20,1
194,100109,2014,22,1
195,100109,2014,43,1
196,100109,2014,45,1
197,100109,2014,46,1
198,100109,2014,48,1
199,100109,2014,50,2
200,100109,2015,37,1
201,100109,2015,38,1
202,100109,2015,42,1
203,100109,2015,43,1
204,100109,2015,45,1
205,100109,2015,47,2
206,100109,2015,49,1
207,100109,2016,9,1
208,100109,2016,28,2
209,100109,2016,31,1
210,100109,2016,33,1
211,100109,2016,35,1
212,100109,2016,43,1
213,100109,2017,1,1
214,100109,2017,50,1
215,100109,2018,5,1
216,100110,2014,25,1
217,100110,2014,33,1
218,100110,2014,38,1
219,100110,2014,46,1
220,100110,2014,49,1
221,100110,2015,4,1
222,100110,2015,9,1
223,100110,2015,18,1
224,100110,2015,19,1
225,100110,2015,21,1
226,100110,2015,25,1
227,100110,2015,26,1
228,100110,2015,27,1
229,100110,2015,29,1
230,100110,2015,30,2
231,100110,2015,36,1
232,100110,2015,37,1
233,100110,2015,40,1
234,100110,2015,44,1
235,100110,2015,45,4
236,100110,2015,47,1
237,100110,2015,48,1
238,100110,2015,49,1
239,100110,2015,50,2
240,100110,2016,1,1
241,100110,2016,2,1
242,100110,2016,3,1
243,100110,2016,5,1
244,100110,2016,10,1
245,100110,2016,25,1
246,100110,2016,34,1
247,100110,2016,35,1
248,100110,2016,37,1
249,100110,2016,42,1
250,100110,2016,44,1
251,100110,2017,27,1
252,100110,2017,28,1
253,100110,2017,32,1
254,100110,2017,33,3
255,100110,2017,43,1
256,100110,2018,20,1
257,100111,2014,20,1
258,100111,2014,34,2
259,100111,2014,43,1
260,100111,2014,46,1
261,100111,2014,49,1
262,100111,2015,12,1
263,100111,2015,16,1
264,100111,2015,34,1
265,100111,2015,42,1
266,100111,2015,44,1
267,100111,2015,45,2
268,100111,2015,46,1
269,100111,2015,47,1
270,100111,2015,48,2
271,100111,2015,51,3
272,100111,2016,16,1
273,100111,2016,45,1
274,100111,2016,49,1
275,100111,2016,50,1
276,100111,2017,17,1
277,100111,2017,27,1
278,100111,2017,31,1
279,100111,2017,35,1
280,100111,2017,39,1
281,100111,2017,40,1
282,100111,2017,42,1
283,100111,2017,46,1
284,100111,2017,47,1
285,100111,2017,48,1
