addrcode,Year,WeekNum,NumberCases
100101,2014,1,0
100101,2014,2,0
100101,2014,3,0
100101,2014,4,0
100101,2014,5,0
100101,2014,6,0
100101,2014,7,0
100101,2014,8,0
100101,2014,9,0
100101,2014,10,0
100101,2014,11,0
100101,2014,12,0
100101,2014,13,0
100101,2014,14,0
100101,2014,15,0
100101,2014,16,0
100101,2014,17,0
100101,2014,18,0
100101,2014,19,0
100101,2014,20,0
100101,2014,21,0
100101,2014,22,0
100101,2014,23,0
100101,2014,24,0
100101,2014,25,0
100101,2014,26,0
100101,2014,27,0
100101,2014,28,0
100101,2014,29,0
100101,2014,30,0
100101,2014,31,0
100101,2014,32,0
100101,2014,33,0
100101,2014,34,0
100101,2014,35,0
100101,2014,36,0
100101,2014,37,0
100101,2014,38,0
100101,2014,39,0
100101,2014,40,0
100101,2014,41,0
100101,2014,42,0
100101,2014,43,0
100101,2014,44,0
100101,2014,45,0
100101,2014,46,0
100101,2014,47,1
100101,2014,48,0
100101,2014,49,0
100101,2014,50,0
100101,2014,51,0
100101,2014,52,0
100101,2015,1,0
100101,2015,2,0
100101,2015,3,0
100101,2015,4,1
100101,2015,5,0
100101,2015,6,0
100101,2015,7,0
100101,2015,8,0
100101,2015,9,0
100101,2015,10,0
100101,2015,11,0
100101,2015,12,0
100101,2015,13,0
100101,2015,14,0
100101,2015,15,0
100101,2015,16,0
100101,2015,17,0
100101,2015,18,0
100101,2015,19,0
100101,2015,20,0
100101,2015,21,1
100101,2015,22,1
100101,2015,23,0
100101,2015,24,0
100101,2015,25,0
100101,2015,26,0
100101,2015,27,1
100101,2015,28,0
100101,2015,29,1
100101,2015,30,1
100101,2015,31,1
100101,2015,32,0
100101,2015,33,1
100101,2015,34,1
100101,2015,35,0
100101,2015,36,0
100101,2015,37,0
100101,2015,38,0
100101,2015,39,0
100101,2015,40,0
100101,2015,41,0
100101,2015,42,0
100101,2015,43,0
100101,2015,44,0
100101,2015,45,2
100101,2015,46,3
100101,2015,47,1
100101,2015,48,3
100101,2015,49,1
100101,2015,50,1
100101,2015,51,0
100101,2015,52,0
100101,2015,53,0
100101,2016,1,1
100101,2016,2,0
100101,2016,3,0
100101,2016,4,1
100101,2016,5,0
100101,2016,6,0
100101,2016,7,0
100101,2016,8,0
100101,2016,9,0
100101,2016,10,0
100101,2016,11,0
100101,2016,12,0
100101,2016,13,0
100101,2016,14,0
100101,2016,15,0
100101,2016,16,0
100101,2016,17,0
100101,2016,18,0
100101,2016,19,0
100101,2016,20,0
100101,2016,21,0
100101,2016,22,0
100101,2016,23,0
100101,2016,24,0
100101,2016,25,0
100101,2016,26,0
100101,2016,27,0
100101,2016,28,0
100101,2016,29,0
100101,2016,30,0
100101,2016,31,0
100101,2016,32,0
100101,2016,33,0
100101,2016,34,0
100101,2016,35,0
