,addrcode,Year,WeekNum,NumberCases,population,DFp10000Pop
0,100101,2014,1,0,0.4089,0.0
1,100101,2014,2,0,0.4089,0.0
2,100101,2014,3,0,0.4089,0.0
3,100101,2014,4,0,0.4089,0.0
4,100101,2014,5,0,0.4089,0.0
5,100101,2014,6,0,0.4089,0.0
6,100101,2014,7,0,0.4089,0.0
7,100101,2014,8,0,0.4089,0.0
8,100101,2014,9,0,0.4089,0.0
9,100101,2014,10,0,0.4089,0.0
10,100101,2014,11,0,0.4089,0.0
11,100101,2014,12,0,0.4089,0.0
12,100101,2014,13,0,0.4089,0.0
13,100101,2014,14,0,0.4089,0.0
14,100101,2014,15,0,0.4089,0.0
15,100101,2014,16,0,0.4089,0.0
16,100101,2014,17,0,0.4089,0.0
17,100101,2014,18,0,0.4089,0.0
18,100101,2014,19,0,0.4089,0.0
19,100101,2014,20,0,0.4089,0.0
20,100101,2014,21,0,0.4089,0.0
21,100101,2014,22,0,0.4089,0.0
22,100101,2014,23,0,0.4089,0.0
23,100101,2014,24,0,0.4089,0.0
24,100101,2014,25,0,0.4089,0.0
25,100101,2014,26,0,0.4089,0.0
26,100101,2014,27,0,0.4089,0.0
27,100101,2014,28,0,0.4089,0.0
28,100101,2014,29,0,0.4089,0.0
29,100101,2014,30,0,0.4089,0.0
30,100101,2014,31,0,0.4089,0.0
31,100101,2014,32,0,0.4089,0.0
32,100101,2014,33,0,0.4089,0.0
33,100101,2014,34,0,0.4089,0.0
34,100101,2014,35,0,0.4089,0.0
35,100101,2014,36,0,0.4089,0.0
36,100101,2014,37,0,0.4089,0.0
37,100101,2014,38,0,0.4089,0.0
38,100101,2014,39,0,0.4089,0.0
39,100101,2014,40,0,0.4089,0.0
40,100101,2014,41,0,0.4089,0.0
41,100101,2014,42,0,0.4089,0.0
42,100101,2014,43,0,0.4089,0.0
43,100101,2014,44,0,0.4089,0.0
44,100101,2014,45,0,0.4089,0.0
45,100101,2014,46,0,0.4089,0.0
46,100101,2014,47,1,0.4089,2.4455857177794083
47,100101,2014,48,0,0.4089,0.0
48,100101,2014,49,0,0.4089,0.0
49,100101,2014,50,0,0.4089,0.0
50,100101,2014,51,0,0.4089,0.0
51,100101,2014,52,0,0.4089,0.0
52,100101,2015,1,0,0.4089,0.0
53,100101,2015,2,0,0.4089,0.0
54,100101,2015,3,0,0.4089,0.0
55,100101,2015,4,1,0.4089,2.4455857177794083
56,100101,2015,5,0,0.4089,0.0
57,100101,2015,6,0,0.4089,0.0
58,100101,2015,7,0,0.4089,0.0
59,100101,2015,8,0,0.4089,0.0
60,100101,2015,9,0,0.4089,0.0
61,100101,2015,10,0,0.4089,0.0
62,100101,2015,11,0,0.4089,0.0
63,100101,2015,12,0,0.4089,0.0
64,100101,2015,13,0,0.4089,0.0
65,100101,2015,14,0,0.4089,0.0
66,100101,2015,15,0,0.4089,0.0
67,100101,2015,16,0,0.4089,0.0
68,100101,2015,17,0,0.4089,0.0
69,100101,2015,18,0,0.4089,0.0
70,100101,2015,19,0,0.4089,0.0
71,100101,2015,20,0,0.4089,0.0
72,100101,2015,21,1,0.4089,2.4455857177794083
73,100101,2015,22,1,0.4089,2.4455857177794083
74,100101,2015,23,0,0.4089,0.0
75,100101,2015,24,0,0.4089,0.0
76,100101,2015,25,0,0.4089,0.0
77,100101,2015,26,0,0.4089,0.0
78,100101,2015,27,1,0.4089,2.4455857177794083
79,100101,2015,28,0,0.4089,0.0
80,100101,2015,29,1,0.4089,2.4455857177794083
81,100101,2015,30,1,0.4089,2.4455857177794083
82,100101,2015,31,1,0.4089,2.4455857177794083
83,100101,2015,32,0,0.4089,0.0
84,100101,2015,33,1,0.4089,2.4455857177794083
85,100101,2015,34,1,0.4089,2.4455857177794083
86,100101,2015,35,0,0.4089,0.0
87,100101,2015,36,0,0.4089,0.0
88,100101,2015,37,0,0.4089,0.0
89,100101,2015,38,0,0.4089,0.0
90,100101,2015,39,0,0.4089,0.0
91,100101,2015,40,0,0.4089,0.0
92,100101,2015,41,0,0.4089,0.0
93,100101,2015,42,0,0.4089,0.0
94,100101,2015,43,0,0.4089,0.0
95,100101,2015,44,0,0.4089,0.0
96,100101,2015,45,2,0.4089,4.8911714355588165
97,100101,2015,46,3,0.4089,7.336757153338225
98,100101,2015,47,1,0.4089,2.4455857177794083
99,100101,2015,48,3,0.4089,7.336757153338225
100,100101,2015,49,1,0.4089,2.4455857177794083
101,100101,2015,50,1,0.4089,2.4455857177794083
102,100101,2015,51,0,0.4089,0.0
